txn_id,customer_id,product_id,amount,currency,ts,status
t0000103,c00184,p0021,49.33,USD,2025-06-25 08:55:00,cancelled
t0000104,c00420,p0031,70.42,MXN,2025-01-15 09:24:00,paid
t0000105,c00440,p0007,167.39,MXN,2025-04-13 12:34:00,paid
t0000106,c00420,p0109,17.57,USD,2025-03-31 13:42:00,Paid
t0000107,c00811,p0099,$406.39,USD,2025-01-17 15:21:00,refunded
t0000108,c01370,p0078,472.08,USD,2025-05-05 19:54:00,refunded
t0000109,c00940,p0019,31.57,USD,2025-07-03 19:59:00,refunded
t0000110,c02103,p0035,58.54,MXN,2025-02-03 00:40:00,Paid
t0000111,c03355,p0021,32.81,BRL,2025-09-23 21:53:00,paid
t0000112,c00391,p0004,94.39,MXN,2025-07-19 07:57:00,Paid
t0000113,c01086,p0071,52.15,USD,2025-09-09 11:55:00,paid
t0000114,c02759,p0104,49.55,EUR,2025-01-07 06:50:00,paid
t0000115,c02714,p0022,414.9,MXN,2025-09-01 10:58:00,paid
t0000116,c03371,p0120,33.66,USD,2025-03-29 13:23:00,paid
t0000117,c02383,p0081,€16.71,EUR,2025-05-31 00:38:00,paid
t0000118,c01793,p0014,55.44,USD,2025-02-26 07:15:00,paid
t0000119,c03341,p0045,24.46,MXN,2025-08-13 19:08:00,paid
t0000120,c00560,p0018,113.62,USD,2025-03-15 07:51:00,paid
t0000121,c01762,p0029,50.38,BRL,2025-06-25 21:23:00,paid
t0000122,c00991,p0091,401.02,MXN,2025-07-02 13:51:00,paid
t0000123,c01242,p0079,"$32,3",USD,2025-08-16 05:51:00,PAID
t0000124,c00164,p0111,26.61,EUR,2025-09-05 12:04:00,paid
t0000125,c02252,p0085,32.43,USD,2025-04-22 14:41:00,paid
t0000126,c00505,p0115,"€79,91",USD,2025-02-01 07:50:00,Paid
t0000127,c00916,p0037,30.0,BRL,2025-09-20 10:41:00,refunded
t0000128,c03463,p0011,185.78,EUR,2025-02-17 07:06:00,cancelled
t0000129,c02157,p0035,91.66,EUR,2025-03-09 18:16:00,paid
t0000130,c00465,p0002,76.75,USD,2025-01-28 19:11:00,paid
t0000131,c01565,p0023,45.01,USD,2025-03-31 21:50:00,paid
t0000132,c01625,p0110,202.92,USD,2025-03-02 04:11:00,paid
t0000133,c00624,p0066,17.54,USD,2025-04-15 11:47:00,paid
t0000134,c00747,p0114,79.89,USD,2025-06-19 11:36:00,Refunded
t0000135,c01498,p0104,41.0,USD,2025-06-26 09:05:00,paid
t0000136,c01503,p0012,31.33,EUR,2025-04-08 06:29:00,paid
t0000137,c01749,p0005,159.2,MXN,2025-01-22 20:18:00,Refunded
t0000138,c00234,p0060,16.94,MXN,2025-05-23 12:20:00,paid
t0000139,c03042,p0096,90.17,USD,2025-04-17 21:56:00,refunded
t0000140,c01134,p0037,32.15,USD,2025-09-18 19:18:00,paid
t0000141,c03376,p0112,170.07,EUR,2025-05-11 11:52:00,paid
t0000142,c01342,p0007,"289,73",BRL,2025-02-10 06:51:00,paid
t0000143,c02908,p0097,47.27,MXN,2025-05-30 19:59:00,refunded
t0000144,c00489,p0053,98.2,USD,2025-09-01 13:16:00,paid
t0000145,c02751,p0064,24.66,MXN,2025-05-15 09:47:00,refunded
t0000146,c01826,p0080,117.29,EUR,2025-05-16 18:03:00,refunded
t0000147,c03362,p0109,7.91,USD,2025-06-01 19:41:00,cancelled
t0000148,c01978,p0105,78.65,USD,2025-03-12 10:24:00,paid
t0000149,c00878,p0080,216.01,USD,2025-05-19 18:52:00,cancelled
t0000150,c02577,p0051,106.9,USD,2025-04-24 21:10:00,Refunded
t0000151,c00458,p0119,16.51,BRL,2025-04-03 09:39:00,paid
t0000152,c00852,p0057,838.96,USD,2025-03-05 14:22:00,paid
t0000153,c01543,p0120,45.47,MXN,2025-05-20 06:15:00,paid
t0000154,c01949,p0035,70.3,USD,2025-09-15 14:40:00,paid
t0000155,c00296,p0117,26.2,EUR,2025-02-08 21:45:00,Paid
t0000156,c00142,p0017,28.1,EUR,2025-04-22 21:53:00,paid
t0000157,c00421,p0007,389.17,USD,2025-05-30 11:43:00,paid
t0000158,c03365,p0078,263.35,EUR,2025-09-05 13:08:00,cancelled
t0000159,c03116,p0020,10.5,USD,2025-09-19 21:01:00,paid
t0000160,c00540,p0068,41.83,USD,2025-06-24 20:35:00,paid
t0000161,c01239,p0090,55.08,EUR,2025-06-20 05:35:00,refunded
t0000162,c02946,p0039,54.36,USD,2025-05-13 11:35:00,paid
t0000163,c00306,p0046,63.77,MXN,2025-03-03 10:10:00,paid
t0000164,c03267,p0070,57.84,USD,2025-07-21 14:45:00,paid
t0000165,c00337,p0032,238.66,USD,2025-06-29 16:41:00,paid
t0000166,c00963,p0094,60.8,USD,2025-01-09 19:38:00,paid
t0000167,c01605,p0008,11.57,USD,2025-09-29 20:41:00,paid
t0000168,c03195,p0008,28.22,MXN,2025-03-05 23:50:00,paid
t0000169,c00056,p0081,20.99,USD,2025-06-24 19:53:00,paid
t0000170,c00278,p0101,311.1,USD,2025-04-05 10:45:00,paid
t0000171,c02661,p0014,18.85,BRL,2025-01-02 00:58:00,refunded
t0000172,c00077,p0082,"$92,05",EUR,2025-07-19 13:32:00,refunded
t0000173,c01162,p0081,7.89,EUR,2025-01-21 11:06:00,paid
t0000174,c03159,p0031,39.3,MXN,2025-05-26 10:32:00,paid
t0000175,c02341,p0096,49.74,USD,2025-06-16 21:39:00,paid
t0000176,c02931,p0028,21.78,MXN,2025-02-18 12:19:00,paid
t0000177,c02424,p0090,43.72,USD,2025-01-07 12:12:00,Paid
t0000178,c01438,p0075,57.01,EUR,2025-01-03 10:16:00,paid
t0000179,c00263,p0112,485.61,USD,2025-02-17 21:50:00,Paid
t0000180,c00041,p0072,126.25,MXN,2025-03-19 12:27:00,refunded
t0000181,c02723,p0040,30.21,EUR,2025-08-30 20:29:00,paid
t0000182,c01751,p0072,234.66,USD,2025-07-30 21:19:00,refunded
t0000183,c03070,p0012,87.08,USD,2025-08-08 21:11:00,refunded
t0000184,c00639,p0032,102.12,USD,2025-07-21 12:12:00,paid
t0000185,c02406,p0012,65.05,USD,2025-02-03 11:32:00,paid
t0000186,c01182,p0117,36.4,USD,2025-04-24 16:33:00,cancelled
t0000187,c00609,p0053,30.62,EUR,2025-01-08 10:03:00,paid
t0000188,c01006,p0074,76.79,USD,2025-06-06 14:13:00,paid
t0000189,c01718,p0077,58.3,EUR,2025-01-04 13:14:00,refunded
t0000190,c02160,p0111,23.4,MXN,2025-07-16 13:57:00,paid
t0000191,c01516,p0036,37.34,USD,2025-04-21 21:18:00,refunded
t0000192,c02508,p0078,157.07,USD,2025-06-18 09:05:00,paid
t0000193,c00229,p0033,94.89,USD,2025-08-06 21:25:00,paid
t0000194,c01509,p0013,48.82,USD,2025-03-17 09:10:00,cancelled
t0000195,c00072,p0097,83.85,USD,2025-04-07 12:37:00,Refunded
t0000196,c00291,p0074,42.44,USD,2025-01-13 22:42:00,cancelled
t0000197,c02976,p0067,175.09,EUR,2025-02-02 16:35:00,Refunded
t0000198,c00380,p0015,€550.4,EUR,2025-04-08 20:05:00,paid
t0000199,c00705,p0111,21.55,EUR,2025-09-22 12:10:00,paid
t0000200,c00196,p0074,79.25,USD,2025-09-15 11:34:00,paid
t0000201,c00317,p0003,50.89,EUR,2025-09-14 18:42:00,paid
t0000202,c00567,p0100,€202.21,USD,2025-04-17 13:06:00,paid
t0000203,c02817,p0058,215.32,USD,2025-04-02 08:57:00,cancelled
t0000204,c00585,p0049,24.44,USD,2025-05-18 14:35:00,paid
t0000205,c02706,p0016,95.75,MXN,2025-01-08 12:47:00,refunded
t0000206,c00510,p0018,29.58,EUR,2025-02-04 07:25:00,paid
t0000207,c01597,p0088,69.28,USD,2025-03-05 21:21:00,paid
t0000208,c01255,p0045,$23.48,MXN,2025-06-05 13:48:00,paid
t0000209,c03494,p0118,103.23,MXN,2025-03-27 22:53:00,Paid
t0000210,c03018,p0074,42.45,USD,2025-09-13 10:51:00,paid
t0000211,c00547,p0103,14.12,USD,2025-05-16 21:33:00,paid
t0000212,c02154,p0071,21.47,EUR,2025-04-01 19:16:00,PAID
t0000213,c03238,p0018,31.53,USD,2025-06-19 22:25:00,cancelled
t0000214,c03369,p0047,6.92,BRL,2025-05-16 19:15:00,paid
t0000215,c00018,p0099,"$96,75",USD,2025-02-19 12:50:00,paid
t0000216,c02212,p0068,23.04,EUR,2025-08-27 15:31:00,paid
t0000217,c01453,p0092,72.52,USD,2025-03-07 07:17:00,paid
t0000218,c02495,p0003,21.16,USD,2025-02-05 17:07:00,paid
t0000219,c03140,p0050,134.04,USD,2025-03-14 23:50:00,paid
t0000220,c01612,p0093,35.25,USD,2025-01-31 09:09:00,paid
t0000221,c02429,p0044,32.63,BRL,2025-01-24 22:19:00,paid
t0000222,c01750,p0016,268.79,USD,2025-05-02 22:12:00,paid
t0000223,c01040,p0069,110.36,USD,2025-01-15 09:04:00,cancelled
t0000224,c00858,p0112,146.72,USD,2025-08-13 17:45:00,refunded
t0000225,c03291,p0015,331.46,MXN,2025-02-16 14:19:00,paid
t0000226,c00394,p0080,98.88,EUR,2025-01-20 17:14:00,refunded
t0000227,c00098,p0024,34.49,USD,2025-01-10 11:33:00,refunded
t0000228,c03179,p0043,501.88,EUR,2025-03-28 23:55:00,paid
t0000229,c01814,p0054,7.26,EUR,2025-09-01 19:51:00,paid
t0000230,c02671,p0047,15.03,BRL,2025-08-28 22:47:00,paid
t0000231,c03280,p0029,110.45,USD,2025-05-12 21:50:00,paid
t0000232,c02382,p0024,15.91,USD,2025-07-30 10:05:00,paid
t0000233,c00102,p0012,43.81,EUR,2025-07-13 21:02:00,paid
t0000234,c02264,p0111,20.06,USD,2025-06-12 11:58:00,paid
t0000235,c01013,p0120,54.56,USD,2025-04-16 22:31:00,Refunded
t0000236,c03110,p0097,60.47,EUR,2025-09-09 13:35:00,paid
t0000237,c01278,p0001,18.57,USD,2025-08-20 19:14:00,refunded
t0000238,c01505,p0010,74.35,BRL,2025-03-16 21:27:00,refunded
t0000239,c00976,p0009,70.02,USD,2025-02-02 14:28:00,paid
t0000240,c00202,p0018,68.31,USD,2025-04-06 20:02:00,Paid
t0000241,c03255,p0067,235.46,BRL,2025-05-23 11:37:00,paid
t0000242,c00202,p0021,54.68,USD,2025-09-16 09:35:00,paid
t0000243,c02602,p0050,388.38,USD,2025-08-14 09:43:00,paid
t0000244,c02980,p0114,26.84,EUR,2025-03-13 06:15:00,paid
t0000245,c00691,p0056,66.69,EUR,2025-02-17 03:33:00,paid
t0000246,c00349,p0067,348.41,USD,2025-09-23 13:57:00,paid
t0000247,c02822,p0039,122.36,EUR,2025-07-12 12:43:00,paid
t0000248,c00815,p0013,25.47,MXN,2025-09-29 21:51:00,paid
t0000249,c03450,p0038,257.34,MXN,2025-01-13 09:49:00,paid
t0000250,c03321,p0119,82.63,EUR,2025-05-17 11:49:00,paid
t0000251,c00755,p0003,16.24,USD,2025-09-21 10:44:00,paid
t0000252,c01631,p0081,26.45,USD,2025-04-04 18:28:00,paid
t0000253,c02956,p0049,145.79,USD,2025-08-27 19:10:00,Paid
t0000254,c02716,p0008,31.57,MXN,2025-04-17 00:59:00,Paid
t0000255,c02357,p0082,66.16,USD,2025-05-04 14:46:00,refunded
t0000256,c02992,p0073,223.5,USD,2025-03-05 22:55:00,paid
t0000257,c01070,p0040,46.87,EUR,2025-09-22 19:01:00,paid
t0000258,c00186,p0070,65.82,EUR,2025-07-21 11:11:00,
t0000259,c01041,p0068,62.93,USD,2025-09-20 10:53:00,paid
t0000260,c03466,p0004,93.97,BRL,2025-06-15 21:46:00,refunded
t0000261,c01027,p0099,249.09,USD,2025-08-07 10:40:00,paid
t0000262,c00741,p0106,21.59,USD,2025-08-01 13:35:00,paid
t0000263,c02007,p0044,50.21,EUR,2025-08-23 08:00:00,paid
t0000264,c01538,p0094,159.09,USD,2025-09-13 14:07:00,cancelled
t0000265,c01631,p0045,27.78,EUR,2025-06-18 23:17:00,paid
t0000266,c00419,p0091,555.97,BRL,2025-07-05 11:09:00,cancelled
t0000267,c02549,p0099,"$77,53",MXN,2025-02-25 12:03:00,paid
t0000268,c00037,p0083,15.89,USD,2025-08-16 17:18:00,refunded
t0000269,c00023,p0119,11.93,USD,2025-02-08 16:05:00,paid
t0000270,c03020,p0025,35.07,USD,2025-01-04 20:00:00,paid
t0000271,c03245,p0065,31.29,USD,2025-06-25 21:30:00,paid
t0000272,c01602,p0081,18.91,EUR,2025-01-09 12:38:00,paid
t0000273,c03225,p0110,227.96,USD,2025-03-24 16:10:00,cancelled
t0000274,c02720,p0039,51.39,USD,2025-03-17 18:41:00,paid
t0000275,c03355,p0048,41.35,EUR,2025-08-21 14:50:00,paid
t0000276,c01249,p0058,79.27,EUR,2025-07-16 10:46:00,paid
t0000277,c02350,p0004,20.79,MXN,2025-02-03 09:09:00,cancelled
t0000278,c01546,p0094,61.56,USD,2025-07-25 22:26:00,paid
t0000279,c00626,p0079,13.79,USD,2025-09-15 12:13:00,PAID
t0000280,c01892,p0111,16.5,EUR,2025-07-05 10:48:00,paid
t0000281,c00356,p0075,119.42,USD,2025-07-07 10:50:00,refunded
t0000282,c03255,p0054,42.45,EUR,2025-01-11 18:04:00,paid
t0000283,c03220,p0054,21.86,USD,2025-05-07 21:22:00,paid
t0000284,c02404,p0048,75.24,USD,2025-06-05 11:58:00,paid
t0000285,c00666,p0099,221.1,EUR,2025-06-29 22:56:00,paid
t0000286,c02563,p0008,43.87,USD,2025-09-19 13:33:00,paid
t0000287,c02935,p0012,57.05,USD,2025-03-29 08:17:00,paid
t0000288,c00080,p0068,46.59,USD,2025-08-22 09:13:00,paid
t0000289,c00856,p0102,86.4,USD,2025-02-23 16:04:00,paid
t0000290,c03300,p0109,20.21,EUR,2025-08-07 11:22:00,refunded
t0000291,c02459,p0051,136.74,BRL,2025-05-05 05:58:00,paid
t0000292,c01771,p0010,45.4,USD,2025-04-15 21:03:00,paid
t0000293,c00250,p0037,7.42,BRL,2025-06-28 23:13:00,cancelled
t0000294,c03412,p0004,25.74,EUR,2025-01-12 21:15:00,Paid
t0000295,c00136,p0105,13.01,MXN,2025-05-03 11:13:00,paid
t0000296,c00861,p0098,57.69,USD,2025-05-22 13:04:00,paid
t0000297,c00882,p0095,19.17,USD,2025-06-09 06:47:00,paid
t0000298,c03036,p0033,139.91,USD,2025-06-13 08:37:00,paid
t0000299,c01286,p0045,11.6,EUR,2025-06-28 10:37:00,paid
t0000300,c00029,p0101,195.0,BRL,2025-06-02 12:31:00,paid
t0000301,c01540,p0106,37.3,EUR,2025-02-23 10:37:00,paid
t0000302,c02790,p0038,183.43,USD,2025-07-13 07:27:00,paid
t0000303,c02778,p0109,17.81,EUR,2025-08-03 10:01:00,paid
t0000304,c00827,p0086,20.52,MXN,2025-04-26 06:53:00,paid
t0000305,c02854,p0017,31.04,MXN,2025-03-18 15:21:00,Refunded
t0000306,c00918,p0085,23.01,USD,2025-08-12 17:00:00,PAID
t0000307,c00741,p0071,1982.88,USD,2025-03-07 02:30:00,paid
t0000308,c00415,p0047,14.01,EUR,2025-07-08 13:00:00,paid
t0000309,c01597,p0105,48.29,BRL,2025-06-16 08:31:00,paid
t0000310,c00312,p0006,212.8,EUR,2025-02-23 22:47:00,refunded
t0000311,c03160,p0100,435.75,USD,2025-03-11 11:38:00,paid
t0000312,c01897,p0093,84.71,USD,2025-02-07 11:17:00,cancelled
t0000313,c01601,p0001,9.14,USD,2025-02-19 01:48:00,paid
t0000314,c02760,p0106,19.48,EUR,2025-05-31 17:50:00,paid
t0000315,c02195,p0076,52.59,MXN,2025-07-06 15:55:00,paid
t0000316,c00875,p0021,66.9,USD,2025-03-21 11:36:00,paid
t0000317,c02781,p0006,138.9,BRL,2025-06-08 21:53:00,paid
t0000318,c02780,p0027,209.39,USD,2025-04-03 05:39:00,paid
t0000319,c02077,p0117,49.95,USD,2025-02-20 09:35:00,paid
t0000320,c00931,p0036,29.56,USD,2025-03-28 11:59:00,refunded
t0000321,c02783,p0070,223.3,USD,2025-08-20 21:53:00,PAID
t0000322,c02138,p0098,66.79,BRL,2025-06-08 18:23:00,paid
t0000323,c01379,p0109,11.32,USD,2025-06-03 20:08:00,paid
t0000324,c00523,p0086,12.68,USD,2025-02-25 15:03:00,paid
t0000325,c02912,p0044,34.97,USD,2025-07-13 10:53:00,paid
t0000326,c00384,p0021,111.57,BRL,2025-04-22 13:57:00,paid
t0000327,c00012,p0086,25.69,USD,2025-04-18 09:36:00,paid
t0000328,c01288,p0010,76.28,USD,2025-08-21 19:01:00,paid
t0000329,c00981,p0001,42.72,EUR,2025-05-05 21:01:00,paid
t0000330,c01782,p0116,24.2,USD,2025-02-26 10:42:00,paid
t0000331,c01516,p0074,47.44,USD,2025-01-05 21:05:00,paid
t0000332,c02265,p0024,11.39,EUR,2025-06-03 21:50:00,paid
t0000333,c01721,p0097,88.56,USD,2025-01-15 19:44:00,paid
t0000334,c01436,p0059,130.9,USD,2025-02-09 11:08:00,PAID
t0000335,c01481,p0023,18.17,BRL,2025-04-13 12:34:00,refunded
t0000336,c02485,p0051,32.56,EUR,2025-01-13 11:37:00,paid
t0000337,c00888,p0005,409.91,USD,2025-04-14 21:34:00,cancelled
t0000338,c01605,p0102,85.78,EUR,2025-07-20 08:33:00,paid
t0000339,c02912,p0060,10.73,MXN,2025-02-02 21:42:00,Paid
t0000340,c02535,p0051,39.33,USD,2025-08-19 12:36:00,cancelled
t0000341,c01959,p0028,117.25,USD,2025-04-04 14:20:00,paid
t0000342,c03193,p0050,153.08,BRL,2025-02-24 13:45:00,Paid
t0000343,c00699,p0026,54.29,BRL,2025-03-09 11:15:00,cancelled
t0000344,c01664,p0120,25.59,BRL,2025-02-21 09:09:00,paid
t0000345,c01666,p0049,168.87,USD,2025-06-01 11:29:00,paid
t0000346,c00327,p0106,35.09,USD,2025-02-15 22:52:00,paid
t0000347,c01250,p0080,165.31,USD,2025-01-26 22:25:00,paid
t0000348,c00095,p0097,59.2,USD,2025-06-21 14:58:00,paid
t0000349,c00180,p0066,68.64,USD,2025-07-21 00:14:00,paid
t0000350,c03030,p0053,30.04,BRL,2025-09-13 05:57:00,paid
t0000351,c01198,p0084,$199.61,USD,2025-06-08 14:12:00,paid
t0000352,,p0017,17.04,EUR,2025-04-07 14:37:00,refunded
t0000353,c03099,p0036,58.06,USD,2025-09-19 14:51:00,PAID
t0000354,c00031,p0100,112.77,USD,2025-01-09 20:49:00,cancelled
t0000355,c00732,p0077,66.43,EUR,2025-04-13 22:36:00,paid
t0000356,c02644,p0074,52.14,BRL,2025-09-19 09:18:00,paid
t0000357,c00230,p0097,32.77,USD,2025-01-17 19:23:00,paid
t0000358,c00323,p0051,96.59,USD,2025-09-28 19:45:00,paid
t0000359,c00744,p0071,22.38,USD,2025-03-09 21:48:00,paid
t0000360,c01211,p0111,6.29,USD,2025-01-10 12:26:00,refunded
t0000361,c01636,p0059,311.27,USD,2025-06-16 22:23:00,paid
t0000362,c02577,p0042,20.03,USD,2025-08-11 19:19:00,paid
t0000363,c02933,p0045,12.73,USD,2025-06-16 15:53:00,paid
t0000364,c01810,p0047,37.03,USD,2025-07-12 08:54:00,paid
t0000365,c00621,p0043,206.78,USD,2025-02-13 15:13:00,paid
t0000366,c01403,p0058,307.22,USD,2025-06-07 17:06:00,paid
t0000367,c00847,p0103,42.22,USD,2025-09-05 15:29:00,paid
t0000368,c00864,p0042,52.1,USD,2025-05-13 19:41:00,paid
t0000369,c02571,p0022,144.09,MXN,2025-04-16 14:37:00,paid
t0000370,c03314,p0088,45.77,USD,2025-02-26 14:47:00,Paid
t0000371,c03135,p0039,€42.81,MXN,2025-07-25 09:08:00,refunded
t0000372,c02015,p0081,34.6,EUR,2025-02-04 06:34:00,Refunded
t0000373,c01533,p0057,226.79,USD,2025-05-30 22:15:00,paid
t0000374,c02201,p0017,14.3,MXN,2025-03-11 11:15:00,paid
t0000375,c00233,p0096,38.76,BRL,2025-02-14 10:02:00,refunded
t0000376,c00430,p0054,33.34,USD,2025-01-30 13:34:00,refunded
t0000377,c02036,p0036,21.6,USD,2025-04-01 18:54:00,paid
